genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,release_date
Classical,Wolfgang Amadeus Mozart,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",2YarjDYjBJuH63dUIh9OWv,68,0.982,0.194,433800,0.0324,0.961,F,0.0916,-28.215,Major,0.0382,144.13,4/4,0.0596
Classical,Ludwig van Beethoven,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",3DNRdudZ2SstnDCVKFdXxG,68,0.995,0.184,315427,0.00527,0.887,C#,0.173,-37.264,Minor,0.0432,170.612,3/4,0.151,2007-09-25
Classical,Harold Budd,The Whispers,4VH3rKj1tmhUZtX3U43jBq,68,0.995,0.228,163000,0.00385,0.917,A,0.0858,-35.213,Minor,0.0449,141.201,3/4,0.117,2011-09-27
Classical,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",61dYvvfIRtIDFuqZypPAta,66,0.9,0.257,151480,0.109,0.867,G,0.0762,-21.356,Major,0.0597,75.02,4/4,0.307,1983
Classical,Jóhann Jóhannsson,Flight From The City,3Sy6wgTNEp6vSgLs4EyXAf,66,0.932,0.13,391160,0.086,0.912,A#,0.108,-21.92,Major,0.0373,90.223,4/4,0.0375,2016-09-16
Classical,Frédéric Chopin,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,7n92QzQomRCLlciO14X0kd,66,0.99,0.387,268427,0.0451,0.913,D#,0.112,-24.698,Major,0.0364,61.494,4/4,0.071,
Classical,Frédéric Chopin,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major, ""Raindrop""",4q8f3Ls32PcXE8Ks4V1ufx,65,0.995,0.398,348333,0.00293,0.922,C#,0.0897,-29.481,Major,0.0666,130.464,4/4,0.0804,2002-03-01
Classical,Claude Debussy,Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif,6N7JzrteJv8lsr1GWYyu0b,65,0.993,0.343,279160,0.0252,0.932,C#,0.0454,-27.013,Major,0.0488,67.207,5/4,0.0395,2018-10-05
Classical,Claude Debussy,"Rêverie, L. 68: Rêverie",43bSKCMWHIuBsUVmQcDX1J,65,0.994,0.242,257000,0.00898,0.909,G,0.0814,-31.811,Minor,0.0424,68.88,5/4,0.0549
Classical,Wolfgang Amadeus Mozart,"Requiem, K. 626: Lacrimosa",3oHSL6pt9LpNrQZuQGu9wL,65,0.944,0.162,169667,0.0898,0.917,D,0.187,-23.269,Minor,0.0354,132.047,3/4,0.0413
